Source,Target,Weight
胡中祥,中国农业银行股份有限公司-安信比较优势灵活配置混合型证券投资基金,1
胡中祥,全国社保基金一零二组合,1
中国证券金融股份有限公司,武雪元,1
中国证券金融股份有限公司,叶晓明,1
中国证券金融股份有限公司,倪凤生,1
中国工商银行-易方达价值成长混合型证券投资基金,武雪元,1
中国工商银行-易方达价值成长混合型证券投资基金,叶晓明,1
中国工商银行-易方达价值成长混合型证券投资基金,倪凤生,1
中央汇金资产管理有限责任公司,武雪元,1
中央汇金资产管理有限责任公司,叶晓明,1
中央汇金资产管理有限责任公司,倪凤生,1
全国社保基金一零九组合,武雪元,1
全国社保基金一零九组合,叶晓明,1
全国社保基金一零九组合,倪凤生,1
中国证券金融股份有限公司,邓永安,1
中国证券金融股份有限公司,陈琳,1
中国工商银行股份有限公司-银华鑫盛定增灵活配置混合型证券投资基金,邓永安,1
中国工商银行股份有限公司-银华鑫盛定增灵活配置混合型证券投资基金,陈琳,1
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金,余欢,1
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金,吴海洋,1
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金,刘伟,1
中央汇金资产管理有限责任公司,余欢,1
中央汇金资产管理有限责任公司,吴海洋,1
中央汇金资产管理有限责任公司,刘伟,1
中国长城资产管理股份有限公司,王培屹,1
中国长城资产管理股份有限公司,任平,1
中国长城资产管理股份有限公司,张照祥,1
中国长城资产管理股份有限公司,殷克扬,1
中国长城资产管理股份有限公司,鲍瑞,1
中央汇金资产管理有限责任公司,王培屹,1
中央汇金资产管理有限责任公司,任平,1
中央汇金资产管理有限责任公司,张照祥,1
中央汇金资产管理有限责任公司,殷克扬,1
中央汇金资产管理有限责任公司,鲍瑞,1
中国工商银行股份有限公司-南方大数据100指数证券投资基金,王培屹,1
中国工商银行股份有限公司-南方大数据100指数证券投资基金,任平,1
中国工商银行股份有限公司-南方大数据100指数证券投资基金,张照祥,1
中国工商银行股份有限公司-南方大数据100指数证券投资基金,殷克扬,1
中国工商银行股份有限公司-南方大数据100指数证券投资基金,鲍瑞,1
张茂义,中国银河证券股份有限公司,1
